row_number,url,email,status,error_message,screenshot_path,timestamp
2,https://peoriaaz.govqa.us/WEBAPP/_rs/(S(spyqtdxt5x05w1vtxlxnojw2))/supporthome.aspx,agent-sr@smartprocure.us,FAILED,Could not find or click City/public tile after all strategies,screenshots/errors/row2_tile_not_found_20260402_152650.png,2026-04-02 15:26:50
3,https://peoriaaz.govqa.us/WEBAPP/_rs/(S(hszq4ucryrtlm0ewx0o51mkt))/supporthome.aspx,agent-sr@smartprocure.us,FAILED,Could not find or click City/public tile after all strategies,screenshots/errors/row3_tile_not_found_20260402_152757.png,2026-04-02 15:27:57
4,https://sangamoncountyilsheriff.govqa.us/WEBAPP/_rs/(S(25cqysq5siot03ezjosh55se))/SupportHome.aspx?sSessionID=1544725208:45720JZJSQAKDOVEWAPFUGQYMYPHJ,agent-sr@smartprocure.us,FAILED,Could not find email/username input field,screenshots/errors/row4_email_field_not_found_20260402_152943.png,2026-04-02 15:29:43
5,https://glendaleheights.govqa.us/WEBAPP/_rs/(S(wfrzhrl1p10xcejumiucvgo1))/SupportHome.aspx?sSessionID=110227226190:54861YQIBOOYRJBRDEQQONJXEZV,agent-sr@smartprocure.us,FAILED,Could not find email/username input field,screenshots/errors/row5_email_field_not_found_20260402_153058.png,2026-04-02 15:30:58
6,https://oaklawnil.govqa.us/WEBAPP/_rs/(S(tlhpxbgp50u5k432fqtquu2i))/SupportHome.aspx?sSessionID=1544725155:7127HTQOWBFVOVYUGNNCYXEXFSEFX,agent-sr@smartprocure.us,FAILED,Could not find or click City/public tile after all strategies,screenshots/errors/row6_tile_not_found_20260402_153128.png,2026-04-02 15:31:29
2,https://peoriaaz.govqa.us/WEBAPP/_rs/(S(spyqtdxt5x05w1vtxlxnojw2))/supporthome.aspx,agent-sr@smartprocure.us,FAILED,Could not find email/username input field,screenshots/errors/row2_email_field_not_found_20260407_121344.png,2026-04-07 12:13:44
3,https://peoriaaz.govqa.us/WEBAPP/_rs/(S(hszq4ucryrtlm0ewx0o51mkt))/supporthome.aspx,agent-sr@smartprocure.us,FAILED,Could not find email/username input field,screenshots/errors/row3_email_field_not_found_20260407_121449.png,2026-04-07 12:14:49
4,https://sangamoncountyilsheriff.govqa.us/WEBAPP/_rs/(S(25cqysq5siot03ezjosh55se))/SupportHome.aspx?sSessionID=1544725208:45720JZJSQAKDOVEWAPFUGQYMYPHJ,agent-sr@smartprocure.us,FAILED,Could not find email/username input field,screenshots/errors/row4_email_field_not_found_20260407_121551.png,2026-04-07 12:15:51
5,https://glendaleheights.govqa.us/WEBAPP/_rs/(S(wfrzhrl1p10xcejumiucvgo1))/SupportHome.aspx?sSessionID=110227226190:54861YQIBOOYRJBRDEQQONJXEZV,agent-sr@smartprocure.us,FAILED,Could not find email/username input field,screenshots/errors/row5_email_field_not_found_20260407_121650.png,2026-04-07 12:16:50
6,https://oaklawnil.govqa.us/WEBAPP/_rs/(S(tlhpxbgp50u5k432fqtquu2i))/SupportHome.aspx?sSessionID=1544725155:7127HTQOWBFVOVYUGNNCYXEXFSEFX,agent-sr@smartprocure.us,FAILED,Could not find or click City/public tile after all strategies,screenshots/errors/row6_tile_not_found_20260407_121718.png,2026-04-07 12:17:18
